Attribute,f-value,p-value
FEV1PreVal,9.790798125542095,0.002103000031232601
FEV1PrePercent,19.700365961651002,1.7313676727321927e-05
FEV1PostVal,4.3031519911651035,0.03972800286171091
FEV1PostPercent,13.546725469863128,0.0003226024068723975
FVCPreVal,4.389530824809725,0.03781850944234696
FVCPrePercent,1.0723730131871985,0.3020547387224043
FVCPostVal,5.192958842798776,0.02407112876855714
FVCPostPercent,5.9665241593881975,0.015726133512902134
FEFPreVal,93.78058432203126,1.4241655897046725e-17
FEFPrePercent,102.96425582859675,8.527409952803899e-19
FEFPostVal,82.49912207175493,5.265975385623011e-16
FEFPostPercent,101.69195327497951,1.2516969107997045e-18
