Attribute,f-value,p-value
PRRest,31.088,2.886E-08
PRExercise,53.841,3.430E-13
PR10,54.578,2.386E-13
PR20,47.843,6.635E-12
PR30,43.220,6.585E-11
PR40,36.197,2.202E-09
PR50,28.885,8.804E-08
PR60,24.124,9.951E-07
PR70,29.018,8.232E-08
PR80,29.122,7.808E-08
PR90,33.269,9.601E-09
PR100,29.053,8.087E-08
PR110,26.084,3.657E-07
PR120,26.516,2.935E-07
SaoRest,13.285,2.760E-04
SaoExercise,58.430,3.595E-14
Sao10,73.823,1.983E-17
Sao20,77.037,4.188E-18
Sao30,80.943,6.360E-19
Sao40,64.354,1.981E-15
Sao50,50.830,1.514E-12
Sao60,39.974,3.324E-10
Sao70,36.901,1.547E-09
Sao80,33.190,9.993E-09
Sao90,29.251,7.313E-08
Sao100,28.754,9.409E-08
Sao110,27.442,1.832E-07
Sao120,28.620,1.007E-07
