Smoothing,Mean Threshold,Std. Deviation Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity,Threshold,Accuracy,Sensitivity,Specificity
20,0.512,0.004,"[0.52, 0.51, 0.51, 0.51, 0.51, 0.51]",0.7735,0.78,0.76,'Learned',0.8416,0.91,0.71
,,,,,,,'Mean’,0.8394,0.90,0.71
,,,,,,,0.51,0.8437,0.92,0.69
,,,,,,,0.52,0.8219,0.83,0.80
15,0.517,0.005,"[0.52, 0.51, 0.52, 0.52, 0.52, 0.51]",0.7710,0.77,0.77,'Learned',0.8409,0.90,0.73
,,,,,,,'Mean’,0.8383,0.89,0.72
,,,,,,,0.51,0.8435,0.93,0.67
,,,,,,,0.52,0.8372,0.88,0.75
10,0.522,0.004,"[0.53, 0.52, 0.52, 0.52, 0.52, 0.52]",0.7720,0.77,0.77,'Learned',0.8383,0.90,0.72
,,,,,,,'Mean’,0.8390,0.90,0.72
,,,,,,,0.52,0.8390,0.90,0.71
,,,,,,,0.53,0.8364,0.87,0.77
5,0.538,0.008,"[0.55, 0.53, 0.54, 0.54, 0.54, 0.53]",0.7655,0.77,0.76,'Learned',0.8385,0.90,0.72
,,,,,,,'Mean’,0.8374,0.90,0.72
,,,,,,,0.53,0.8424,0.91,0.70
,,,,,,,0.54,0.8379,0.90,0.72
,,,,,,,0.55,0.8377,0.88,0.75
2,0.577,0.016,"[0.60, 0.56, 0.58, 0.57, 0.59, 0.56]",0.7685,0.77,0.77,'Learned',0.8396,0.90,0.72
,,,,,,,'Mean’,0.8381,0.90,0.72
,,,,,,,0.56,0.8429,0.91,0.70
,,,,,,,0.57,0.8400,0.90,0.71
,,,,,,,0.58,0.8372,0.89,0.72
,,,,,,,0.59,0.8374,0.89,0.74
,,,,,,,0.6,0.8387,0.88,0.75
1,0.613,0.024,"[0.65, 0.59, 0.62, 0.60, 0.63, 0.59]",0.7710,0.77,0.77,'Learned',0.8398,0.90,0.72
,,,,,,,'Mean’,0.8390,0.90,0.72
,,,,,,,0.59,0.8426,0.91,0.70
,,,,,,,0.6,0.8416,0.91,0.71
,,,,,,,0.61,0.8394,0.90,0.72
,,,,,,,0.62,0.8390,0.89,0.73
,,,,,,,0.63,0.8398,0.89,0.74
,,,,,,,0.64,0.8385,0.89,0.74
,,,,,,,0.65,0.8387,0.88,0.76
0,0.770,0.056,"[0.84, 0.75, 0.84, 0.71, 0.73, 0.75]",0.7920,0.79,0.79,'Learned',0.8515,0.91,0.74
,,,,,,,'Mean’,0.8524,0.91,0.74
,,,,,,,0.71,0.8545,0.91,0.74
,,,,,,,0.72,0.8537,0.91,0.74
,,,,,,,0.73,0.8541,0.91,0.74
,,,,,,,0.74,0.8541,0.91,0.74
,,,,,,,0.75,0.8548,0.91,0.74
,,,,,,,0.76,0.8537,0.91,0.74
,,,,,,,0.77,0.8524,0.91,0.74
,,,,,,,0.78,0.8526,0.91,0.75
,,,,,,,0.79,0.8519,0.90,0.75
,,,,,,,0.8,0.8517,0.90,0.75
,,,,,,,0.81,0.8509,0.90,0.75
,,,,,,,0.82,0.8530,0.90,0.76
,,,,,,,0.83,0.8528,0.90,0.76
,,,,,,,0.84,0.8511,0.90,0.76
0.1,0.702,0.038,"[0.76, 0.68, 0.72, 0.67, 0.72, 0.66]",0.7795,0.78,0.78,'Learned',0.8463,0.90,0.73
,,,,,,,'Mean’,0.8481,0.90,0.73
,,,,,,,0.66,0.8483,0.91,0.72
,,,,,,,0.67,0.8481,0.91,0.72
,,,,,,,0.68,0.8478,0.91,0.73
,,,,,,,0.69,0.8478,0.91,0.73
,,,,,,,0.7,0.8476,0.90,0.73
,,,,,,,0.71,0.8472,0.90,0.74
,,,,,,,0.72,0.8455,0.90,0.74
,,,,,,,0.73,0.8450,0.90,0.74
,,,,,,,0.74,0.8448,0.89,0.75
,,,,,,,0.75,0.8439,0.89,0.75
,,,,,,,0.76,0.8431,0.88,0.76
0.01,0.705,0.030,"[0.75, 0.69, 0.72, 0.66, 0.71, 0.70]",0.7870,0.79,0.79,'Learned',0.8513,0.91,0.74
,,,,,,,'Mean’,0.8509,0.91,0.74
,,,,,,,0.66,0.8532,0.92,0.73
,,,,,,,0.67,0.8537,0.91,0.73
,,,,,,,0.68,0.8522,0.91,0.73
,,,,,,,0.69,0.8517,0.91,0.73
,,,,,,,0.7,0.8500,0.91,0.73
,,,,,,,0.71,0.8504,0.90,0.74
,,,,,,,0.72,0.8509,0.90,0.74
,,,,,,,0.73,0.8502,0.90,0.75
,,,,,,,0.74,0.8502,0.90,0.75
,,,,,,,0.75,0.8489,0.90,0.75
0.001,0.710,0.054,"[0.78, 0.67, 0.75, 0.63, 0.71, 0.72]",0.7890,0.79,0.79,'Learned',0.8489,0.91,0.73
,,,,,,,'Mean’,0.8494,0.91,0.73
,,,,,,,0.63,0.8524,0.92,0.72
,,,,,,,0.64,0.8522,0.92,0.72
,,,,,,,0.65,0.8513,0.92,0.72
,,,,,,,0.66,0.8519,0.92,0.72
,,,,,,,0.67,0.8517,0.91,0.73
,,,,,,,0.68,0.8519,0.91,0.73
,,,,,,,0.69,0.8513,0.91,0.73
,,,,,,,0.7,0.8502,0.91,0.73
,,,,,,,0.71,0.8494,0.91,0.73
,,,,,,,0.72,0.8498,0.91,0.74
,,,,,,,0.73,0.8496,0.90,0.74
,,,,,,,0.74,0.8483,0.90,0.74
,,,,,,,0.75,0.8489,0.90,0.74
,,,,,,,0.76,0.8496,0.90,0.75
,,,,,,,0.77,0.8483,0.90,0.75
,,,,,,,0.78,0.8476,0.90,0.75
0.0001,0.753,0.048,"[0.80, 0.71, 0.81, 0.69, 0.76, 0.75]",0.7930,0.79,0.79,'Learned',0.8509,0.90,0.74
,,,,,,,'Mean’,0.8515,0.91,0.74
,,,,,,,0.69,0.8535,0.91,0.74
,,,,,,,0.7,0.8532,0.91,0.74
,,,,,,,0.71,0.8524,0.91,0.74
,,,,,,,0.72,0.8524,0.91,0.74
,,,,,,,0.73,0.8515,0.91,0.74
,,,,,,,0.74,0.8515,0.91,0.74
,,,,,,,0.75,0.8513,0.91,0.74
,,,,,,,0.76,0.8511,0.90,0.74
,,,,,,,0.77,0.8509,0.90,0.74
,,,,,,,0.78,0.8504,0.90,0.75
,,,,,,,0.79,0.8496,0.90,0.75
,,,,,,,0.8,0.8500,0.90,0.75
,,,,,,,0.81,0.8502,0.90,0.75
1.00E-05,0.762,0.053,"[0.81, 0.73, 0.84, 0.70, 0.73, 0.76]",0.7915,0.79,0.79,'Learned',0.8515,0.91,0.74
,,,,,,,'Mean’,0.8530,0.91,0.74
,,,,,,,0.7,0.8550,0.91,0.74
,,,,,,,0.71,0.8545,0.91,0.74
,,,,,,,0.72,0.8537,0.91,0.74
,,,,,,,0.73,0.8537,0.91,0.74
,,,,,,,0.74,0.8537,0.91,0.74
,,,,,,,0.75,0.8535,0.91,0.74
,,,,,,,0.76,0.8530,0.91,0.74
,,,,,,,0.77,0.8519,0.91,0.74
,,,,,,,0.78,0.8517,0.90,0.75
,,,,,,,0.79,0.8522,0.90,0.75
,,,,,,,0.8,0.8517,0.90,0.75
,,,,,,,0.81,0.8513,0.90,0.75
,,,,,,,0.82,0.8526,0.90,0.75
,,,,,,,0.83,0.8526,0.90,0.76
,,,,,,,0.84,0.8502,0.90,0.76
1.00E-06,0.770,0.058,"[0.84, 0.75, 0.84, 0.70, 0.73, 0.76]",0.7920,0.79,0.79,'Learned',0.8515,0.91,0.74
,,,,,,,'Mean’,0.8524,0.91,0.74
,,,,,,,0.7,0.8550,0.91,0.74
,,,,,,,0.71,0.8545,0.91,0.74
,,,,,,,0.72,0.8537,0.91,0.74
,,,,,,,0.73,0.8541,0.91,0.74
,,,,,,,0.74,0.8541,0.91,0.74
,,,,,,,0.75,0.8548,0.91,0.74
,,,,,,,0.76,0.8537,0.91,0.74
,,,,,,,0.77,0.8524,0.91,0.74
,,,,,,,0.78,0.8524,0.91,0.75
,,,,,,,0.79,0.8519,0.90,0.75
,,,,,,,0.8,0.8517,0.90,0.75
,,,,,,,0.81,0.8509,0.90,0.75
,,,,,,,0.82,0.8530,0.90,0.76
