Smoothing, Threshold, Accuracy, Sensitivity, Specificity,Accuracy,Sensitivity,Specificity
20,0.64,0.5393,0.50,0.59,0.5357,0.48,0.65
15,0.64,0.5672,0.58,0.54,0.5695,0.57,0.58
10,0.66,0.5517,0.53,0.59,0.5430,0.50,0.62
5,0.69,0.5616,0.56,0.56,0.5606,0.54,0.59
2,0.76,0.5672,0.57,0.56,0.5695,0.56,0.59
1,0.83,0.5715,0.58,0.57,0.5711,0.56,0.60
0,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
0.1,0.99,0.5517,0.53,0.59,0.5880,0.53,0.69
0.01,0.99,0.6049,0.71,0.44,0.6562,0.75,0.49
0.001,0.99,0.6080,0.72,0.43,0.6586,0.77,0.46
0.0001,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-05,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-06,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-07,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-08,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-09,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
1E-10,0.99,0.6105,0.73,0.43,0.6578,0.77,0.45
