Smoothing, Accuracy, Sensitivity, Specificity,Accuracy,Sensitivity,Specificity
20,0.6173,1,0.01,0.6426,0.99,0
15,0.6186,0.99,0.03,0.6402,0.99,0
10,0.6260,0.97,0.07,0.6643,0.98,0.08
5,0.6340,0.91,0.19,0.6635,0.94,0.15
2,0.6216,0.85,0.27,0.6402,0.89,0.18
1,0.6179,0.82,0.30,0.6434,0.87,0.23
0,0.6278,0.84,0.29,0.6683,0.87,0.31
0.1,0.6309,0.84,0.31,0.6514,0.88,0.23
0.01,0.6291,0.85,0.28,0.6610,0.87,0.28
0.001,0.6254,0.84,0.29,0.6675,0.87,0.30
0.0001,0.6272,0.84,0.29,0.6683,0.87,0.31
1E-05,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-06,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-07,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-08,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-09,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-10,0.6278,0.84,0.29,0.6683,0.87,0.31
