C,Gamma,Mean(Threshold),Std(Threshold),Optimal Thresholds,Accuracy,Sensitivity,Specificity,Threshold,Accuracy,Sensitivity,Specificity
20,0.0001,0.15,0.243,"[0.1, 0.3, 0.4, -0.3, 0.2, 0.2]",0.8134,0.81,0.81,'Learned',0.8513,0.9,0.75
,,,,,,,,'Mean',0.8477,0.9,0.74
,,,,,,,,-0.3,0.8618,0.94,0.71
,,,,,,,,-0.2,0.8619,0.94,0.71
,,,,,,,,-0.1,0.8595,0.93,0.72
,,,,,,,,0,0.856,0.92,0.73
,,,,,,,,0.1,0.8523,0.91,0.74
,,,,,,,,0.2,0.8453,0.89,0.75
,,,,,,,,0.3,0.8424,0.88,0.76
,,,,,,,,0.4,0.8385,0.87,0.77
15,0.0001,0.167,0.207,"[0.1, 0.3, 0.4, -0.2, 0.2, 0.2]",0.8134,0.81,0.81,'Learned',0.8501,0.9,0.75
,,,,,,,,'Mean',0.8474,0.9,0.74
,,,,,,,,-0.2,0.8622,0.94,0.71
,,,,,,,,-0.1,0.8596,0.93,0.72
,,,,,,,,0,0.8569,0.92,0.73
,,,,,,,,0.1,0.8516,0.91,0.74
,,,,,,,,0.2,0.8449,0.89,0.75
,,,,,,,,0.3,0.8405,0.88,0.75
,,,,,,,,0.4,0.8382,0.87,0.77
10,0.0001,0.15,0.207,"[0.1, 0.3, 0.4, -0.2, 0.1, 0.2]",0.8124,0.81,0.81,'Learned',0.851,0.9,0.74
,,,,,,,,'Mean',0.8494,0.9,0.74
,,,,,,,,-0.2,0.861,0.94,0.71
,,,,,,,,-0.1,0.8597,0.93,0.72
,,,,,,,,0,0.8566,0.92,0.73
,,,,,,,,0.1,0.8506,0.91,0.73
,,,,,,,,0.2,0.8457,0.895,0.75
,,,,,,,,0.3,0.8395,0.88,0.75
,,,,,,,,0.4,0.8373,0.87,0.77
5,0.0001,0.1167,0.204,"[0, 0.2, 0.4, -0.2, 0.1, 0.2]",0.8114,0.81,0.81,'Learned',0.8544,0.91,0.75
,,,,,,,,'Mean',0.8516,0.91,0.74
,,,,,,,,-0.2,0.8609,0.94,0.71
,,,,,,,,-0.1,0.8589,0.93,0.72
,,,,,,,,0,0.8571,0.92,0.73
,,,,,,,,0.1,0.8519,0.91,0.74
,,,,,,,,0.2,0.8459,0.89,0.75
,,,,,,,,0.3,0.8393,0.88,0.76
,,,,,,,,0.4,0.8365,0.87,0.77
1,0.0001,0.133,0.137,"[0.1, 0.2, 0.3, -0.1, 0.1, 0.2]",0.8078,0.8,0.81,'Learned',0.8563,0.91,0.75
,,,,,,,,Mean,0.8536,0.91,0.75
,,,,,,,,-0.1,0.8607,0.93,0.72
,,,,,,,,0,0.8578,0.92,0.73
,,,,,,,,0.1,0.8556,0.91,0.74
,,,,,,,,0.2,0.8494,0.9,0.75
,,,,,,,,0.3,0.8457,0.89,0.76
0.5,0.0001,0.1,0.11,"[0.1, 0.1, 0.2, -0.1, 0.1, 0.2]",0.8078,0.81,0.81,'Learned',0.8574,0.91,0.75
,,,,,,,,Mean,0.8565,0.91,0.75
,,,,,,,,-0.1,0.8617,0.93,0.72
,,,,,,,,0,0.8616,0.92,0.73
,,,,,,,,0.1,0.8565,0.91,0.75
,,,,,,,,0.2,0.8504,0.9,0.76
