 #_estimators,Max_depth, Max_features,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity,Threshold,Accuracy,Sensitivity,Specificity
5,4,0.3,0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8090,0.81,0.81,'Learned',0.8496,0.88,0.79
,,,,,,,,,0.51,0.8515,0.88,0.79
,,,,,,,,,0.5,0.8509,0.88,0.78
,,,,,,,,,0.55,0.8476,0.87,0.81
5,8, 'auto',0.517,0.041,"[0.5, 0.5, 0.55, 0.55, 0.55, 0.45]",0.7999,0.80,0.80,'Learned',0.8420,0.87,0.78
,,,,,,,,,0.52,0.8442,0.88,0.78
,,,,,,,,,0.45,0.8452,0.89,0.76
,,,,,,,,,0.5,0.8431,0.88,0.77
,,,,,,,,,0.55,0.8413,0.87,0.78
5,16,0.7,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7964,0.80,0.79,'Learned',0.8346,0.87,0.77
,,,,,,,,,0.45,0.8346,0.87,0.77
,,,,,,,,,0.45,0.8346,0.87,0.77
5,None,0.7,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7964,0.80,0.79,'Learned',0.8346,0.87,0.77
,,,,,,,,,0.45,0.8346,0.87,0.77
,,,,,,,,,0.45,0.8346,0.87,0.77
10,4,0.3,0.500,0.032,"[0.55, 0.5, 0.5, 0.45, 0.5, 0.5]",0.8180,0.82,0.82,'Learned',0.8654,0.90,0.79
,,,,,,,,,0.5,0.8647,0.90,0.79
,,,,,,,,,0.45,0.8604,0.91,0.75
,,,,,,,,,0.5,0.8647,0.90,0.79
,,,,,,,,,0.55,0.8571,0.88,0.82
10,8,0.3,0.500,0.000,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.8055,0.81,0.80,'Learned',0.8526,0.89,0.77
,,,,,,,,,0.5,0.8526,0.89,0.77
,,,,,,,,,0.5,0.8526,0.89,0.77
10,16,0.5,0.533,0.041,"[0.45, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.80,0.82,'Learned',0.8515,0.87,0.81
,,,,,,,,,0.53,0.8485,0.87,0.81
,,,,,,,,,0.45,0.8528,0.90,0.75
,,,,,,,,,0.5,0.8528,0.90,0.75
,,,,,,,,,0.55,0.8485,0.87,0.81
10,None,0.5,0.533,0.041,"[0.45, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.80,0.82,'Learned',0.8515,0.87,0.81
,,,,,,,,,0.53,0.8485,0.87,0.81
,,,,,,,,,0.45,0.8528,0.90,0.75
,,,,,,,,,0.5,0.8528,0.90,0.75
,,,,,,,,,0.55,0.8485,0.87,0.81
20,4,0.4,0.533,0.041,"[0.55, 0.5, 0.6, 0.5, 0.55, 0.5]",0.8155,0.81,0.82,'Learned',0.8591,0.89,0.80
,,,,,,,,,0.53,0.8602,0.89,0.80
,,,,,,,,,0.5,0.8617,0.90,0.78
,,,,,,,,,0.55,0.8576,0.88,0.80
,,,,,,,,,0.6,0.8535,0.86,0.83
20,8,0.3,0.517,0.026,"[0.55, 0.5, 0.5, 0.5, 0.5, 0.55]",0.8094,0.82,0.80,'Learned',0.8604,0.89,0.80
,,,,,,,,,0.52,0.8606,0.89,0.80
,,,,,,,,,0.5,0.8613,0.90,0.79
,,,,,,,,,0.55,0.8578,0.88,0.81
20,16,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80,'Learned',0.8606,0.90,0.79
,,,,,,,,,0.52,0.8587,0.88,0.81
,,,,,,,,,0.5,0.8626,0.91,0.78
,,,,,,,,,0.55,0.8587,0.88,0.81
20,None,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80,'Learned',0.8606,0.90,0.79
,,,,,,,,,0.52,0.8587,0.88,0.81
,,,,,,,,,0.5,0.8626,0.91,0.78
,,,,,,,,,0.55,0.8587,0.88,0.81
30,4,0.4,0.525,0.052,"[0.55, 0.5, 0.6, 0.45, 0.55, 0.5]",0.8160,0.82,0.81,'Learned',0.8623,0.90,0.79
,,,,,,,,,0.52,0.8604,0.89,0.79
,,,,,,,,,0.45,0.8623,0.92,0.74
,,,,,,,,,0.5,0.8619,0.90,0.78
,,,,,,,,,0.55,0.8617,0.89,0.81
,,,,,,,,,0.6,0.8550,0.87,0.83
30,8,0.3,0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8130,0.82,0.81,'Learned',0.8613,0.89,0.80
,,,,,,,,,0.52,0.8606,0.89,0.80
,,,,,,,,,0.5,0.8623,0.90,0.78
,,,,,,,,,0.55,0.8589,0.88,0.82
30,16,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81,'Learned',0.8604,0.89,0.80
,,,,,,,,,0.52,0.8626,0.89,0.80
,,,,,,,,,0.5,0.8617,0.90,0.78
,,,,,,,,,0.55,0.8602,0.88,0.82
30,None,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81,'Learned',0.8604,0.89,0.80
,,,,,,,,,0.52,0.8626,0.89,0.80
,,,,,,,,,0.5,0.8617,0.90,0.78
,,,,,,,,,0.55,0.8602,0.88,0.82
