 #_estimators,Max_depth, Max_features,Threshold, Accuracy, Sensitivity, Specificity, Accuracy, Sensitivity, Specificity
5,4, 'auto',0.55,0.5492,0.53,0.58,0.5502,0.48,0.68
5,4,0.3,0.55,0.5597,0.50,0.65,0.5462,0.47,0.68
5,4,0.4,0.55,0.5721,0.54,0.63,0.5711,0.53,0.65
5,4,0.5,0.55,0.5634,0.53,0.62,0.5759,0.54,0.64
5,4,0.6,0.55,0.5498,0.50,0.62,0.5639,0.51,0.66
5,4,0.7,0.55,0.5523,0.52,0.61,0.5695,0.53,0.65
5,4, None,0.55,0.5566,0.54,0.58,0.5606,0.55,0.59
5,8, 'auto',0.55,0.5665,0.59,0.54,0.5735,0.57,0.58
5,8,0.3,0.55,0.5820,0.62,0.53,0.5574,0.58,0.52
5,8,0.4,0.6,0.5585,0.52,0.61,0.5582,0.50,0.67
5,8,0.5,0.55,0.5858,0.62,0.54,0.5727,0.60,0.53
5,8,0.6,0.55,0.5938,0.63,0.53,0.5767,0.59,0.56
5,8,0.7,0.6,0.5480,0.51,0.61,0.5309,0.47,0.65
5,8, None,0.6,0.5535,0.54,0.58,0.5414,0.48,0.65
5,16, 'auto',0.6,0.5517,0.50,0.63,0.5301,0.47,0.64
5,16,0.3,0.6,0.5610,0.53,0.62,0.5414,0.48,0.66
5,16,0.4,0.6,0.5573,0.49,0.66,0.5293,0.45,0.68
5,16,0.5,0.6,0.5573,0.50,0.65,0.5269,0.45,0.67
5,16,0.6,0.6,0.5542,0.49,0.65,0.5357,0.48,0.63
5,16,0.7,0.6,0.5424,0.47,0.66,0.5510,0.49,0.67
5,16, None,0.6,0.5461,0.49,0.63,0.5141,0.44,0.65
5,None, 'auto',0.6,0.5269,0.45,0.64,0.5157,0.41,0.70
5,None,0.3,0.6,0.5486,0.47,0.67,0.5382,0.43,0.74
5,None,0.4,0.6,0.5338,0.44,0.69,0.5173,0.42,0.70
5,None,0.5,0.6,0.5275,0.44,0.66,0.5157,0.41,0.70
