C,Gamma,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity
0.5,0.1,-0.5,0,"[-0.5, -0.5]",0.5304,0.25,0.75
0.5,0.01,-0.35,0.071,"[-0.4, -0.3]",0.5709,0.54,0.59
0.5,0.001,0.1,0,"[0.1, 0.1]",0.5991,0.6,0.6
0.5,0.0001,0.3,0,"[0.3, 0.3]",0.6049,0.59,0.61
0.5,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.5795,0.59,0.57
1,0.1,-0.1,0,"[-0.1, -0.1]",0.5614,0.02,0.99
1,0.01,-0.2,0,"[-0.2, -0.2]",0.5535,0.61,0.51
1,0.001,0.1,0,"[0.1, 0.1]",0.5986,0.61,0.59
1,0.0001,0.3,0,"[0.3, 0.3]",0.6183,0.61,0.62
1,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.5889,0.61,0.57
5,0.1,-0.1,0,"[-0.1, -0.1]",0.5614,0.02,0.99
5,0.01,-0.2,0,"[-0.2, -0.2]",0.5427,0.61,0.49
5,0.001,0.1,0,"[0.1, 0.1]",0.5915,0.59,0.6
5,0.0001,0.3,0,"[0.3, 0.3]",0.6271,0.62,0.64
5,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.6067,0.63,0.59
10,0.1,-0.1,0,"[-0.1, -0.1]",0.5614,0.02,0.99
10,0.01,-0.2,0,"[-0.2, -0.2]",0.54,0.61,0.48
10,0.001,0.05,0.071,"[-0.0, 0.1]",0.578,0.57,0.59
10,0.0001,0.25,0.071,"[0.2, 0.3]",0.6226,0.62,0.62
10,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.6094,0.61,0.61
15,0.1,-0.1,0,"[-0.1, -0.1]",0.5614,0.02,0.99
15,0.01,-0.2,0,"[-0.2, -0.2]",0.54,0.61,0.48
15,0.001,0,0,"[-0.0, -0.0]",0.5723,0.58,0.57
15,0.0001,0.25,0.071,"[0.2, 0.3]",0.6195,0.62,0.62
15,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.6134,0.61,0.62
20,0.1,-0.1,0,"[-0.1, -0.1]",0.5614,0.02,0.99
20,0.01,-0.2,0,"[-0.2, -0.2]",0.54,0.61,0.48
20,0.001,0,0,"[-0.0, -0.0]",0.5709,0.58,0.56
20,0.0001,0.25,0.071,"[0.2, 0.3]",0.6204,0.62,0.63
20,1.00E-05,0.25,0.071,"[0.2, 0.3]",0.6157,0.61,0.62
