C,Gamma,Threshold,Accuracy,Sensitivity,Specificity,Accuracy,Sensitivity,Specificity
0.5,0.1,-0.3,0.4330,0.20,0.80,0.4120,0.20,0.80
0.5,0.01,-0.2,0.5591,0.53,0.61,0.5727,0.54,0.63
0.5,0.001,0.2,0.5956,0.58,0.61,0.5912,0.59,0.60
0.5,0.0001,0.3,0.5919,0.58,0.61,0.5936,0.59,0.60
0.5,1E-05,0.3,0.5703,0.56,0.59,0.5502,0.52,0.60
1,0.1,0.2,0.6111,1,0,0.6458,1,0
1,0.01,0.1,0.5653,0.56,0.57,0.5454,0.52,0.58
1,0.001,0.2,0.6037,0.60,0.61,0.5912,0.59,0.59
1,0.0001,0.3,0.6018,0.59,0.63,0.5896,0.57,0.62
1,1E-05,0.3,0.5888,0.59,0.59,0.5767,0.57,0.58
5,0.1,0.2,0.6111,1,0,0.6458,1,0
5,0.01,0.2,0.5350,0.48,0.63,0.5229,0.46,0.64
5,0.001,0.2,0.5740,0.57,0.58,0.5502,0.53,0.59
5,0.0001,0.3,0.6074,0.60,0.63,0.5896,0.58,0.61
5,1E-05,0.3,0.6012,0.59,0.62,0.5823,0.58,0.60
10,0.1,0.2,0.6111,1,0,0.6458,1,0
10,0.01,0.2,0.5331,0.47,0.63,0.5229,0.46,0.64
10,0.001,0.2,0.5758,0.58,0.57,0.5277,0.52,0.55
10,0.0001,0.3,0.6136,0.61,0.62,0.5976,0.58,0.63
10,1E-05,0.3,0.6074,0.59,0.63,0.5847,0.57,0.61
15,0.1,0.2,0.6111,1,0,0.6458,1,0
15,0.01,0.2,0.5331,0.47,0.63,0.5229,0.46,0.64
15,0.001,0.2,0.5734,0.58,0.57,0.5133,0.51,0.53
15,0.0001,0.3,0.6136,0.61,0.62,0.5896,0.56,0.64
15,1E-05,0.3,0.6092,0.59,0.64,0.5855,0.57,0.62
20,0.1,0.2,0.6111,1,0,0.6458,1,0
20,0.01,0.2,0.5331,0.47,0.63,0.5229,0.46,0.64
20,0.001,0.2,0.5764,0.59,0.56,0.5189,0.51,0.53
20,0.0001,0.3,0.6080,0.60,0.63,0.5904,0.56,0.64
20,1E-05,0.3,0.6130,0.59,0.64,0.5783,0.55,0.62
