Smoothing,Accuracy,Sensitivity,Specificity,F1-score,MCC
16,0.8583659278574532,1.0,0.0,0.9237852306723351,0.0
8,0.8583659278574532,1.0,0.0,0.9237852306723351,0.0
4,0.8652035346950602,0.9990049751243781,0.05454545454545455,0.9271374402989349,0.1799482798242922
2,0.8754382152687238,0.9950248756218906,0.15098039215686276,0.9320480739058528,0.3246590180203495
1,0.8788208025496161,0.9761292547165165,0.289126559714795,0.9325681513291803,0.38475987511020643
0,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
0.1,0.8693973634651601,0.9333727402591006,0.4814616755793226,0.9245458389695642,0.4390805108151997
0.01,0.8702375778646965,0.9283976158809911,0.5174688057040998,0.92459641639707,0.4585045975922819
0.001,0.8642908880197016,0.9125018471996453,0.5720142602495544,0.9201478066683559,0.46827816106942677
0.0001,0.8685716355207881,0.9125067730653662,0.6023172905525846,0.9224430717996996,0.4925995190851958
1e-05,0.8694335796030711,0.913506723806709,0.6023172905525846,0.9230504508776403,0.4933385355640595
1e-06,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
1e-07,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
1e-08,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
1e-09,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
1e-10,0.870288280457772,0.9145017486823309,0.6023172905525846,0.9236115448804588,0.49494918076731337
