Smoothing,Accuracy,Sensitivity,Specificity,F1-score,MCC
16,0.7429366092886726,0.8967320261437908,0.5881758764111705,0.7785017984553781,0.5143354291576607
8,0.7474740823511676,0.8877302436125967,0.6063279857397504,0.7799557426337381,0.518614911306181
4,0.7540020485806261,0.8827391562685681,0.6244503862150921,0.7835350101509566,0.5284899075974369
2,0.7580047622848326,0.8797088532382649,0.6355614973262033,0.7858908115693993,0.5345583283594674
1,0.7660037601653055,0.8777183600713011,0.6535947712418301,0.7910749955382625,0.5482586049389765
0,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
0.1,0.7805083317813782,0.8647950089126559,0.6956922162804515,0.799213590424506,0.5707220760592868
0.01,0.7869254440808436,0.8608437314319666,0.7124777183600712,0.8026588578379735,0.5816948244873686
0.001,0.7914194624027809,0.8539215686274509,0.7285204991087344,0.8044717484970073,0.5893624339822796
0.0001,0.7953625366926508,0.8547534165181223,0.7355020796197268,0.80748257430654,0.5967980302873842
1e-05,0.7993430796108584,0.8617052881758763,0.7365121806298277,0.8119215315985825,0.6051396298855432
1e-06,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
1e-07,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
1e-08,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
1e-09,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
1e-10,0.8003531806209594,0.8637254901960785,0.7365121806298277,0.8131230725260462,0.6072205931911282
