Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC
relu,"(25,)",0.01,0.9104447341735478,0.9840845278557706,0.4650623885918003,0.9497005345999487,0.5779244047729577
relu,"(25,)",0.001,0.909561060408518,0.9751391557066155,0.5124777183600713,0.9487560854202932,0.5839206761146384
relu,"(25,)",0.0001,0.9112632188903376,0.9781242303334811,0.5062388591800356,0.9498316345406883,0.5885098052530979
relu,"(25,)",1e-05,0.9052875561350138,0.9771341313235801,0.46987522281639926,0.9465739718462203,0.5550523674263653
relu,"(50,)",0.01,0.9138490511371867,0.9721590069454706,0.5611408199643494,0.9509548695305432,0.6113970342467571
relu,"(50,)",0.001,0.9138273214544401,0.9781390079306438,0.5238859180035651,0.9511961915478266,0.604122841684882
relu,"(50,)",0.0001,0.9112704621179197,0.9751490074380572,0.5242424242424242,0.9496633804783764,0.5952035834532642
relu,"(50,)",1e-05,0.9070042010719976,0.9691837840500468,0.5303030303030303,0.947052038933752,0.5781512286133162
relu,"(100,)",0.01,0.9087136027813995,0.9582631397468104,0.6081996434937611,0.9472528560856462,0.614611107918214
relu,"(100,)",0.001,0.9121324062002029,0.9681936850401458,0.5725490196078431,0.9496918314575391,0.6170629571144035
relu,"(100,)",0.0001,0.9121179197450384,0.9761391064479582,0.5242424242424243,0.9501683410934396,0.5963789020826439
relu,"(100,)",1e-05,0.9061495002172968,0.9751391557066155,0.48841354723707664,0.9468946208390825,0.5655940456794518
relu,"(150,)",0.01,0.8899174272055628,0.9522486577015911,0.5130124777183601,0.9363670032184646,0.5392262215542835
relu,"(150,)",0.001,0.9138128349992757,0.9652135362790011,0.6019607843137255,0.9504610564240705,0.6264921037234296
relu,"(150,)",0.0001,0.9146675358539765,0.979114329343382,0.5242424242424242,0.9516659474538854,0.6091056575384634
relu,"(150,)",1e-05,0.9104157612632189,0.9781340820649229,0.5,0.9493695947524348,0.5832121336458642
relu,"(200,)",0.01,0.9002100535998842,0.9453672232894931,0.6260249554367201,0.9418849906779013,0.5906459891263042
relu,"(200,)",0.001,0.9138200782268578,0.970164031328506,0.5727272727272728,0.9508102829950249,0.6162382037641577
relu,"(200,)",0.0001,0.9138418079096046,0.9751440815723363,0.5427807486631016,0.9510660421334516,0.6065466899233792
relu,"(200,)",1e-05,0.9121541358829495,0.9801192059504458,0.5008912655971479,0.9504119279310064,0.5901828088343697
relu,"(250,)",0.01,0.895907576416051,0.9532436825772129,0.549554367201426,0.9399892251454054,0.5566193360265482
relu,"(250,)",0.001,0.9052730696798493,0.9651839810846756,0.542602495543672,0.9457483181370632,0.5896319326168401
relu,"(250,)",0.0001,0.9146747790815587,0.9771242795921383,0.536541889483066,0.9515908760720915,0.6111698424129843
relu,"(250,)",1e-05,0.9129581341445748,0.9771341313235801,0.5238859180035651,0.9506902632298682,0.5983246302975403
relu,"(300,)",0.01,0.9120889468347095,0.9671937342988031,0.5777183600713013,0.9496703568110668,0.6133234627077665
relu,"(300,)",0.001,0.9214906562364189,0.9801241318161668,0.5657754010695187,0.9554310486010165,0.6439784338130898
relu,"(300,)",0.0001,0.9163841807909604,0.9830895029801487,0.5124777183600713,0.9527807992068322,0.6153592257130691
relu,"(300,)",1e-05,0.9095538171809359,0.9811043790946259,0.4761140819964349,0.9490138628740434,0.5788941400509131
relu,"(10,10)",0.01,0.9078516586991163,0.9731540318210925,0.5122994652406417,0.9477370283355879,0.579807680673056
relu,"(10,10)",0.001,0.9104519774011299,0.979119255209103,0.49518716577540106,0.9494902425932076,0.580206645993864
relu,"(10,10)",0.0001,0.9010430247718383,0.979119255209103,0.4283422459893048,0.9444107602458375,0.5275894555661131
relu,"(10,10)",1e-05,0.8959220628712155,0.9761440323136792,0.40998217468805703,0.9415214316269589,0.5008617667187277
relu,"(25,25)",0.01,0.912965377372157,0.979119255209103,0.5121212121212121,0.9508524742620261,0.5979659804293551
relu,"(25,25)",0.001,0.9129726205997393,0.9731589576868135,0.5483065953654189,0.9504569443227937,0.6083904873154669
relu,"(25,25)",0.0001,0.9163841807909605,0.9791241810748239,0.5361853832442067,0.9526370479529311,0.6157806512412566
relu,"(25,25)",1e-05,0.9010575112270027,0.9731688094182552,0.464349376114082,0.9440743856585658,0.5383789732912447
relu,"(50,50)",0.01,0.9172099087353325,0.977139057189301,0.553475935828877,0.9529420155630772,0.6272191902726284
relu,"(50,50)",0.001,0.9121251629726206,0.9870745283483573,0.45811051693404636,0.950702358049757,0.5864452654676809
relu,"(50,50)",0.0001,0.9172533681008257,0.9820994039702478,0.524777183600713,0.9532111589909529,0.6209170303477528
relu,"(50,50)",1e-05,0.9052947993625959,0.9840894537214916,0.4279857397504456,0.9469185529803942,0.5484142730585543
relu,"(75,75)",0.01,0.9053092858177604,0.9592138318309442,0.5798573975044563,0.9454745085812511,0.5962197080708805
relu,"(75,75)",0.001,0.9062002028103723,0.9840845278557706,0.4354723707664884,0.9475028988284264,0.5458111340631207
relu,"(75,75)",0.0001,0.909561060408518,0.9731491059553716,0.5245989304812835,0.9486253984878981,0.5887945881686574
relu,"(75,75)",1e-05,0.9087063595538172,0.9751391557066155,0.5064171122994652,0.948279157399975,0.5799921335013959
relu,"(100,100)",0.01,0.9172461248732435,0.9761391064479582,0.5606060606060607,0.9529499766761785,0.6255611446903352
relu,"(100,100)",0.001,0.9078299290163697,0.9681887591744249,0.5417112299465241,0.9474689283737678,0.5888162918800167
relu,"(100,100)",0.0001,0.9138490511371867,0.9781242303334812,0.5249554367201427,0.951207566840462,0.6047638299831446
relu,"(100,100)",1e-05,0.9163624511082138,0.9820944781045269,0.5180035650623886,0.9527360677511606,0.6142759506924367
relu,"(50,10)",0.01,0.9138273214544401,0.9791241810748239,0.5181818181818182,0.9512464503480471,0.6036649536313254
