Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC
relu,"(25,)",0.01,0.8180095511746082,0.8610516934046345,0.7742424242424244,0.8250819202472921,0.6470524452638391
relu,"(25,)",0.001,0.8230742455281526,0.8322341057635176,0.8137254901960783,0.8250194375851491,0.6493809384419834
relu,"(25,)",0.0001,0.8134709695728133,0.8161021984551398,0.8106951871657754,0.8140606525261864,0.6301107634680719
relu,"(50,)",0.01,0.7995004921914491,0.8404931669637551,0.758080808080808,0.8053513184438376,0.6164318083900472
relu,"(100,)",0.01,0.8033626431124237,0.8189839572192513,0.7879679144385028,0.8050376638539175,0.6248185621039112
relu,"(25,)",1e-05,0.7767075939376203,0.7751336898395723,0.7783719548425431,0.776698477594925,0.5577113102430763
relu,"(50,)",0.001,0.8269935970770036,0.8502673796791443,0.8036541889483066,0.8310592896717114,0.6573921117514249
relu,"(100,)",0.001,0.8219823343177163,0.8229946524064172,0.8208259061200237,0.8220935897249505,0.6488432568538273
relu,"(150,)",0.01,0.812431603125194,0.8533273915626856,0.770617944147356,0.8200563862971166,0.6403190669896732
relu,"(250,)",0.01,0.8135392555936892,0.8027629233511586,0.8248663101604277,0.8084275838592155,0.643795789082253
relu,"(300,)",0.01,0.816969076187689,0.8521390374331551,0.7814319667260844,0.8233327222044067,0.6478232621220166
relu,"(200,)",0.01,0.8073799895353891,0.816369578134284,0.7982174688057041,0.806122226773681,0.6302630659619096
relu,"(150,)",0.001,0.8275662684793502,0.8242424242424243,0.830956625074272,0.826944924466298,0.6587297231199855
relu,"(200,)",0.001,0.8299806670746092,0.8213309566250743,0.839007724301842,0.8285975017072896,0.6671902722828923
relu,"(300,)",0.001,0.8238910172843448,0.839007724301842,0.8085264408793821,0.8255533224734314,0.6571183004662904
relu,"(250,)",0.001,0.831629065013613,0.8381758764111705,0.8249851455733811,0.8337112092344476,0.6674793702728309
relu,"(50,)",0.0001,0.8334630324314257,0.8540998217468805,0.8126856803327391,0.8370331685434911,0.6707058567575098
relu,"(100,)",0.0001,0.81592128484139,0.8371954842543078,0.7945929887106358,0.8201346678483991,0.6357652502424436
relu,"(200,)",0.0001,0.8320157235214304,0.8371360665478312,0.8267379679144385,0.8331008615870665,0.6668642384670346
relu,"(300,)",0.0001,0.8324837488138629,0.8321152703505645,0.8327985739750444,0.8327541729846445,0.6680259068891501
relu,"(150,)",0.0001,0.8305222993765575,0.8429887106357694,0.8178847296494355,0.8333561796871359,0.6633981157891266
relu,"(50,)",1e-05,0.8289095964030117,0.8709447415329769,0.7865418894830659,0.8360843848256093,0.6632895272288547
relu,"(100,)",1e-05,0.78681525527443,0.7981877599524659,0.7755793226381461,0.7902468804692573,0.5774789843686977
relu,"(250,)",0.0001,0.8274332437633579,0.8341354723707665,0.8206179441473559,0.8287308944685362,0.6569347250593104
relu,"(300,)",1e-05,0.8139828930215233,0.8430184194890078,0.7847593582887701,0.8199912039585341,0.6312028928532575
relu,"(200,)",1e-05,0.8209631432853556,0.8341948900772431,0.8078134284016638,0.8238240526590813,0.6453209647135748
relu,"(150,)",1e-05,0.8145021328296131,0.8580213903743316,0.7707664884135473,0.8228749146849229,0.6335430701545056
relu,"(250,)",1e-05,0.801061537233618,0.8242721330956626,0.7776589423648247,0.8059810618770845,0.6048133518054307

relu,"(25,25)",0.01,0.8135374819308093,0.8339869281045752,0.7929590017825312,0.8177911646997408,0.6369891872857162
relu,"(10,10)",0.01,0.8169839306143082,0.838443256090315,0.795632798573975,0.8210878388646529,0.6383181236183594
relu,"(25,25)",0.001,0.8380690132226568,0.8263517528223411,0.8499108734402853,0.8364809101593339,0.6796610671702213
relu,"(10,10)",0.001,0.8069359086918348,0.7915923945335711,0.8226381461675579,0.8031462060995986,0.6180988642821647
relu,"(10,10)",0.0001,0.7958400954230629,0.7883541295306001,0.8035353535353535,0.7942451882592323,0.5941594730247887
relu,"(25,25)",0.0001,0.8209720115997552,0.8153891859774212,0.8267973856209149,0.8200058434835614,0.6450852552390036
relu,"(10,10)",1e-05,0.7483238885784979,0.8180629827688651,0.6780748663101605,0.7655663822579765,0.5047299608386265
relu,"(25,25)",1e-05,0.7788240171690567,0.785531788472965,0.7725490196078432,0.781156843578624,0.5633030547702912
relu,"(50,50)",0.01,0.8165675632532524,0.8134878193701723,0.8198158051099226,0.8146615440553081,0.6416751209630707
relu,"(100,100)",0.01,0.8250948909640744,0.8423054070112893,0.807754010695187,0.8276371752306796,0.657405422091654
relu,"(75,75)",0.01,0.8245149032023483,0.8295008912655971,0.8195484254307784,0.8239539254413232,0.6552616233891505
relu,"(50,50)",0.001,0.8265943012211668,0.8332144979203803,0.8197860962566845,0.8280307040139819,0.6575036724026737
relu,"(100,100)",0.001,0.837482595932991,0.8529411764705882,0.8218954248366014,0.8407223428496907,0.6816321867004111
relu,"(150,150)",0.001,0.815120476051117,0.8410576351752823,0.7887106357694593,0.8193540701126026,0.6420574271686003
relu,"(75,75)",0.001,0.8190626635095466,0.8062982768865122,0.8317884729649437,0.8152029647409599,0.6437337251575812
relu,"(200,200)",0.001,0.8154388485380584,0.8382055852644088,0.7923054070112893,0.8185672983140923,0.6433945863169109
relu,"(150,150)",0.01,0.8245430601005667,0.8311645870469399,0.8179738562091502,0.8253595531078065,0.6575075325977872
relu,"(200,200)",0.01,0.8189221007263149,0.8143196672608437,0.8236482471776588,0.8172495940253842,0.643699659659999
relu,"(100,100)",0.0001,0.822004061687995,0.8311942959001781,0.8128045157456922,0.8237485980674357,0.6465268024767906
relu,"(150,150)",0.0001,0.8254729028653524,0.8430778371954842,0.8076054664289959,0.8287880298493885,0.6545279065983068
relu,"(50,50)",0.0001,0.8241142770993517,0.8232026143790848,0.8248366013071896,0.8241456223095467,0.6514456782439574
relu,"(200,200)",0.0001,0.8295654082528534,0.8263517528223411,0.832739156268568,0.8293087972596292,0.6608766458632944
relu,"(100,100)",1e-05,0.8055546687241156,0.8271538918597742,0.7838383838383839,0.8104143548599682,0.6144867941810211
relu,"(75,75)",0.0001,0.8320148366899903,0.821301247771836,0.8428104575163399,0.8302819273717453,0.6666292312724349
relu,"(50,50)",1e-05,0.81352905703213,0.8022281639928699,0.8249851455733809,0.8123421815183546,0.6312966520790974
relu,"(150,150)",1e-05,0.8274181676288789,0.8429887106357695,0.8116458704694,0.8302282435860316,0.6572712758836652
relu,"(200,200)",1e-05,0.8250421244933975,0.8254010695187167,0.8248068924539513,0.8255688911136158,0.6527890243022082
relu,"(75,75)",1e-05,0.8049589397043304,0.8044266191325015,0.8057932263814619,0.8056146771842455,0.6129879759174224

relu,"(50,10)",0.01,0.82157328331604,0.8162507427213309,0.8270944741532976,0.8212973590146583,0.6492629883377994
relu,"(50,10)",0.001,0.8111241918748503,0.8551396316102197,0.766726084373143,0.8198564240545578,0.6328598180805702
relu,"(50,10)",1e-05,0.7729487588793998,0.8767082590612003,0.6684491978609626,0.7958596399105787,0.5619259209764372
relu,"(50,10)",0.0001,0.8053968127278047,0.8741532976827094,0.7363636363636363,0.8185866808438343,0.6241157597856394
relu,"(100,20)",0.01,0.8185354422184976,0.81301247771836,0.8239750445632797,0.8174360807241824,0.6439553516171284
relu,"(250,50)",0.01,0.8289849770754074,0.8273321449792038,0.8307189542483661,0.8280437214161896,0.6670827768547088
relu,"(100,20)",0.001,0.8229248144305212,0.8409387997623292,0.8044563279857396,0.8251230052629984,0.6513062577317689
relu,"(200,40)",0.01,0.8225538971807628,0.8502079619726679,0.7945335710041591,0.8281748060714316,0.6549618358252031
relu,"(150,30)",0.001,0.8174814430521192,0.8413547237076648,0.79349376114082,0.8204591457953657,0.647547545170459
relu,"(250,50)",0.001,0.8239426752157217,0.8324123588829471,0.8155080213903743,0.8245886539359758,0.6560755738487449
relu,"(150,30)",0.01,0.8225170936760051,0.8342543077837196,0.8106357694592989,0.8244271449352626,0.6561669665458997
relu,"(300,60)",0.01,0.8146593237023438,0.8232620320855615,0.8060308972073678,0.8159503657901114,0.640221101114128
relu,"(200,40)",0.001,0.8230740238202925,0.8296197266785502,0.8166963755199049,0.8238503203654566,0.6511863840617583
relu,"(300,60)",0.001,0.8250042124493397,0.8073380867498514,0.8428401663695783,0.8203613183272713,0.656536756235479
relu,"(150,30)",0.0001,0.8324167930401468,0.8310754604872251,0.8338086749851458,0.8325566722836147,0.6673025275932859
relu,"(100,20)",0.0001,0.8269510291678861,0.8391562685680333,0.8146761734997029,0.8300221410088552,0.6563931085429449
relu,"(250,50)",0.0001,0.839538936334371,0.8431075460487225,0.8357991681521094,0.8406551819763105,0.6810551102760715
relu,"(200,40)",0.0001,0.8309983061519497,0.8390968508615567,0.8227272727272728,0.8327910775663762,0.6641180113581581
relu,"(100,20)",1e-05,0.7968734757584626,0.8231134878193701,0.7704396910279264,0.8025496419921857,0.5969446491215732
relu,"(300,60)",0.0001,0.8299731290073695,0.8279857397504456,0.8318181818181817,0.8295225208758034,0.6623515215068418
relu,"(200,40)",1e-05,0.8324163496244267,0.8510992275698158,0.8136363636363636,0.835981581144272,0.6677146961976295
relu,"(250,50)",1e-05,0.8199390746800755,0.833184789067142,0.8067439096850862,0.8229364648367249,0.6434423300367014
relu,"(150,30)",1e-05,0.8248924716879062,0.8361853832442067,0.8136066547831254,0.8268599425400023,0.6532664191176228
relu,"(300,60)",1e-05,0.8090370340809322,0.8232620320855615,0.7947415329768271,0.8126251321286092,0.620627128047666

relu,"(50,15)",0.01,0.8249600925852022,0.8281045751633987,0.8217171717171716,0.8255912126431917,0.6569738051910862
relu,"(25,8)",0.01,0.828353774798024,0.8321746880570409,0.8248068924539513,0.8279574275725384,0.665470915551466
relu,"(50,15)",0.001,0.8120081411126187,0.8341948900772431,0.7897504456327985,0.8167619905981657,0.6320606663374929
relu,"(25,8)",0.001,0.811096700100212,0.7913250148544266,0.8306001188354131,0.8081455028238466,0.6282135875476434
relu,"(25,8)",0.0001,0.5024875621890547,1.0,0.0,0.6688668866886688,0.0
relu,"(50,15)",0.0001,0.8239431186314418,0.8270944741532977,0.8207070707070706,0.824865401028953,0.6500355273051418
relu,"(50,15)",1e-05,0.8045223969280159,0.8311348781937018,0.7776589423648247,0.8105828525090272,0.6120407568745938
relu,"(25,8)",1e-05,0.5019825116840042,0.998989898989899,0.0,0.6684133719494398,-0.004134491152973615
relu,"(100,30)",0.01,0.8209199102526584,0.86301247771836,0.7782828282828284,0.8284817823116164,0.6500549461514475
relu,"(100,30)",0.001,0.8225237449118046,0.853802733214498,0.7908793820558526,0.8288398455912067,0.6519762934320827
relu,"(150,45)",0.01,0.8123865964296165,0.7881164587046939,0.837106357694593,0.8069712227665068,0.6380921941393936
relu,"(300,90)",0.001,0.792310949707789,0.83544266191325,0.7489007724301842,0.8015197964826565,0.6058133929957304
relu,"(200,60)",0.01,0.825034808134018,0.8442067736185382,0.8057338086749851,0.8289268347575754,0.6567338156730584
relu,"(150,45)",0.001,0.807446945309105,0.8226084373143197,0.7924539512774808,0.8088075208638178,0.6233252610083732
relu,"(200,60)",0.001,0.8215307154069227,0.8162804515745692,0.8266488413547236,0.8193532868943206,0.6530701132585529
relu,"(300,90)",0.01,0.8165453924672538,0.8382352941176471,0.794622697563874,0.8204538345680513,0.6424790245905864
relu,"(250,75)",0.01,0.8189957077358305,0.8330362448009508,0.8047237076648841,0.8199746314964034,0.6474168590332582
relu,"(250,75)",0.001,0.8190943677335248,0.8541592394533569,0.7836304218657159,0.8253856102601023,0.6460770110767898
relu,"(100,30)",0.0001,0.8344888746995859,0.8480689245395129,0.8207961972667857,0.8374929101132903,0.6714749422857875
relu,"(100,30)",1e-05,0.8250627433243763,0.8660427807486631,0.7839869281045752,0.833685584385306,0.6552695306402542
relu,"(250,75)",0.0001,0.8350160959906351,0.8481283422459892,0.8216874628639336,0.8372474199754815,0.6722006472237885
relu,"(300,90)",0.0001,0.8295576484777539,0.8284016636957814,0.8308377896613192,0.8294681530829094,0.6612318236376801
relu,"(200,60)",0.0001,0.8355736912585024,0.8362745098039216,0.8347890671420083,0.8358004850570079,0.6735912057261427
relu,"(150,45)",0.0001,0.8264231427532569,0.8440285204991088,0.8087344028520498,0.830002188468072,0.6561050834146304
relu,"(200,60)",1e-05,0.8219442005657984,0.8352644087938206,0.8087046939988117,0.8245095634276933,0.64733488185684
relu,"(150,45)",1e-05,0.7903060455299261,0.8161616161616162,0.7644979203802733,0.7964246358238501,0.5846228121392206
relu,"(250,75)",1e-05,0.8245069217193888,0.8372549019607843,0.8118538324420678,0.8274665109796183,0.6518073678379781
relu,"(300,90)",1e-05,0.8264377754720159,0.8250742721330955,0.8278371954842543,0.8261276222878987,0.6562172309090791
