Kernel,C,Gamma,Accuracy,Sensitivity,Specificity,F1-score,MCC
rbf,1,0.1,0.5384479119553747,0.7893345216874629,0.2864824717765894,0.5938081367077946,0.14376113024656648
rbf,1,0.01,0.7805351584324368,0.758407605466429,0.8024955436720144,0.7751944055992731,0.5664659152134202
rbf,1,0.001,0.8154683356834367,0.8111705288175877,0.819845513963161,0.8152133926428458,0.6336405089321224
rbf,1,0.0001,0.8154523727175175,0.8191027926322043,0.8119429590017825,0.8170111799977393,0.6340197521288147
rbf,1,1e-05,0.8044310532897012,0.804159239453357,0.8048722519310756,0.8051411268648319,0.6123385667158231
rbf,5,0.1,0.5449459476237352,0.8326500297088532,0.25519904931669635,0.6258195603225863,0.1527848300312696
rbf,5,0.01,0.7770672040865194,0.76455733808675,0.7893642305407012,0.7735670072367496,0.5580187353105787
rbf,5,0.001,0.8194714928033627,0.8191622103386808,0.8197860962566844,0.819793738615446,0.6406270203477151
rbf,5,0.0001,0.8229015351052226,0.825103980986334,0.8208556149732621,0.8238142259453815,0.6495298998324438
rbf,5,1e-05,0.8119099245306445,0.8141711229946523,0.809863339275104,0.8130105302161593,0.6275969819477009
rbf,10,0.1,0.5449459476237352,0.8326500297088532,0.25519904931669635,0.6258195603225863,0.1527848300312696
rbf,10,0.01,0.7765696916487084,0.7635769459298872,0.7893642305407012,0.772929866599609,0.5570669639981319
rbf,10,0.001,0.8129814386179618,0.8172311348781935,0.8086155674390968,0.8140791118844568,0.6277228058357943
rbf,10,0.0001,0.8199541508145547,0.8183006535947713,0.8217765894236483,0.819879788297671,0.6436822276139106
rbf,10,1e-05,0.8139223667757469,0.8161616161616161,0.8118835412953059,0.8154305555996113,0.6312355657596904
rbf,15,0.1,0.5449459476237352,0.8326500297088532,0.25519904931669635,0.6258195603225863,0.1527848300312696
rbf,15,0.01,0.7765696916487084,0.7635769459298872,0.7893642305407012,0.772929866599609,0.5570669639981319
rbf,15,0.001,0.8040175681308254,0.8083184789067142,0.7995840760546643,0.8051153765752878,0.6098099821911565
rbf,15,0.0001,0.821454004487367,0.8223410576351754,0.820736779560309,0.8217605522138419,0.6461818814513147
rbf,15,1e-05,0.8139447592696056,0.8152109328579916,0.812893642305407,0.8153782517402929,0.6311033855268297
rbf,20,0.1,0.5449459476237352,0.8326500297088532,0.25519904931669635,0.6258195603225863,0.1527848300312696
rbf,20,0.01,0.7765696916487084,0.7635769459298872,0.7893642305407012,0.772929866599609,0.5570669639981319
rbf,20,0.001,0.7984702157660893,0.7953654188948306,0.8015151515151514,0.7983308446671483,0.5984019775736197
rbf,20,0.0001,0.8218994155780811,0.825222816399287,0.8186571598336304,0.8222958553456746,0.6470702718706266
rbf,20,1e-05,0.816454713952519,0.8172608437314319,0.8158942364824716,0.817683715349412,0.6366771775718364
