Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity
relu,"(25,)",0.01,0.8180095511746082,0.8610516934046345,0.7742424242424244
relu,"(25,)",0.001,0.8230742455281526,0.8322341057635176,0.8137254901960783
relu,"(50,)",0.01,0.7995004921914491,0.8404931669637551,0.758080808080808
relu,"(25,)",0.0001,0.8134709695728133,0.8161021984551398,0.8106951871657754
relu,"(100,)",0.01,0.8033626431124237,0.8189839572192513,0.7879679144385028
relu,"(50,)",0.001,0.8269935970770036,0.8502673796791443,0.8036541889483066
relu,"(25,)",1e-05,0.7767075939376203,0.7751336898395723,0.7783719548425431
relu,"(150,)",0.01,0.812431603125194,0.8533273915626856,0.770617944147356
relu,"(100,)",0.001,0.8219823343177163,0.8229946524064172,0.8208259061200237
relu,"(250,)",0.01,0.8135392555936892,0.8027629233511586,0.8248663101604277
relu,"(300,)",0.01,0.816969076187689,0.8521390374331551,0.7814319667260844
relu,"(200,)",0.01,0.8073799895353891,0.816369578134284,0.7982174688057041
relu,"(150,)",0.001,0.8275662684793502,0.8242424242424243,0.830956625074272
relu,"(200,)",0.001,0.8299806670746092,0.8213309566250743,0.839007724301842
relu,"(300,)",0.001,0.8238910172843448,0.839007724301842,0.8085264408793821
relu,"(250,)",0.001,0.831629065013613,0.8381758764111705,0.8249851455733811
relu,"(50,)",0.0001,0.8334630324314257,0.8540998217468805,0.8126856803327391
relu,"(100,)",0.0001,0.81592128484139,0.8371954842543078,0.7945929887106358
relu,"(200,)",0.0001,0.8320157235214304,0.8371360665478312,0.8267379679144385
relu,"(300,)",0.0001,0.8324837488138629,0.8321152703505645,0.8327985739750444
relu,"(150,)",0.0001,0.8305222993765575,0.8429887106357694,0.8178847296494355
relu,"(250,)",0.0001,0.8274332437633579,0.8341354723707665,0.8206179441473559
relu,"(100,)",1e-05,0.78681525527443,0.7981877599524659,0.7755793226381461
relu,"(50,)",1e-05,0.8289095964030117,0.8709447415329769,0.7865418894830659
relu,"(300,)",1e-05,0.8139828930215233,0.8430184194890078,0.7847593582887701
relu,"(200,)",1e-05,0.8209631432853556,0.8341948900772431,0.8078134284016638
relu,"(150,)",1e-05,0.8145021328296131,0.8580213903743316,0.7707664884135473
relu,"(250,)",1e-05,0.801061537233618,0.8242721330956626,0.7776589423648247

logistic,"(25,)",0.01,0.8180235187697874,0.8044266191325016,0.83184789067142
logistic,"(25,)",0.001,0.8259622121123439,0.8231134878193703,0.8288770053475937
logistic,"(25,)",0.0001,0.8104023110827324,0.8152109328579916,0.8058823529411766
logistic,"(25,)",1e-05,0.5014934241448729,0.00796197266785502,1.0
logistic,"(100,)",0.01,0.8186547210471705,0.8152703505644681,0.8221033868092692
logistic,"(50,)",0.01,0.8244849726412501,0.8314022578728459,0.8177064765300059
logistic,"(250,)",0.01,0.8220413086084727,0.8325014854426618,0.8119429590017826
logistic,"(150,)",0.01,0.818528569274838,0.797534165181224,0.839809863339275
logistic,"(200,)",0.01,0.8255465098748681,0.8155971479500893,0.835769459298871
logistic,"(300,)",0.01,0.8129348799673647,0.7770350564468211,0.8491087344028522
logistic,"(100,)",0.001,0.8330331408909109,0.8402554961378491,0.8258169934640524
logistic,"(50,)",0.001,0.8300700153421839,0.8351752822341058,0.824896019013666
