Smoothing,Accuracy,Sensitivity,Specificity,BAccuracy,BSensitivity,BSpecificity
16,0.6173,0.99,0.02,0.6402,0.99,0
8,0.6266,0.95,0.12,0.6715,0.98,0.11
4,0.6278,0.89,0.21,0.6586,0.93,0.16
2,0.6216,0.85,0.27,0.6402,0.89,0.18
1,0.6179,0.82,0.30,0.6434,0.87,0.23
0,0.6278,0.84,0.29,0.6683,0.87,0.31
0.1,0.6309,0.84,0.31,0.6514,0.88,0.23
0.01,0.6291,0.85,0.28,0.6610,0.87,0.28
0.001,0.6254,0.84,0.29,0.6675,0.87,0.30
0.0001,0.6272,0.84,0.29,0.6683,0.87,0.31
1E-05,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-06,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-07,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-08,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-09,0.6278,0.84,0.29,0.6683,0.87,0.31
1E-10,0.6278,0.84,0.29,0.6683,0.87,0.31
