C,Gamma,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity
0.5,0.1,-0.033,0.052,"[-0.0, -0.0, -0.0, -0.1, -0.1, -0.0]",0.5853,0.53,0.64
0.5,0.01,-0.433,0.052,"[-0.4, -0.4, -0.4, -0.5, -0.5, -0.4]",0.7778,0.77,0.79
0.5,0.001,0.067,0.163,"[-0.1, 0.1, 0.3, -0.1, 0.2, -0.0]",0.8054,0.81,0.81
0.5,0.0001,0.1,0.11,"[0.1, 0.1, 0.2, -0.1, 0.1, 0.2]",0.8078,0.81,0.81
0.5,1E-05,0.183,0.041,"[0.2, 0.1, 0.2, 0.2, 0.2, 0.2]",0.7991,0.8,0.8
1,0.1,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.6237,0.33,0.92
1,0.01,-0.217,0.075,"[-0.2, -0.2, -0.1, -0.3, -0.3, -0.2]",0.7722,0.77,0.78
1,0.001,0.133,0.186,"[-0.0, 0.3, 0.3, -0.1, 0.3, -0.0]",0.7964,0.8,0.79
1,0.0001,0.133,0.137,"[0.1, 0.2, 0.3, -0.1, 0.1, 0.2]",0.8078,0.8,0.81
1,1E-05,0.167,0.052,"[0.2, 0.2, 0.2, 0.1, 0.1, 0.2]",0.8057,0.81,0.8
5,0.1,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.6457,0.399,0.91
5,0.01,-0.2,0,"[-0.2, -0.2, -0.2, -0.2, -0.2, -0.2]",0.7521,0.76,0.75
5,0.001,0.067,0.151,"[0.1, 0.1, 0.2, -0.0, 0.2, -0.2]",0.794,0.79,0.79
5,0.0001,0.1167,0.204,"[-0.0, 0.2, 0.4, -0.2, 0.1, 0.2]",0.8114,0.81,0.81
5,1E-05,0.15,0.055,"[0.1, 0.2, 0.2, 0.1, 0.1, 0.2]",0.8088,0.81,0.81
10,0.1,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.6457,0.39,0.91
10,0.01,-0.183,0.041,"[-0.2, -0.2, -0.2, -0.2, -0.2, -0.1]",0.7507,0.75,0.75
10,0.001,0.083,0.117,"[0.1, -0.0, 0.2, 0.1, 0.2, -0.1]",0.7906,0.79,0.79
10,0.0001,0.15,0.207,"[0.1, 0.3, 0.4, -0.2, 0.1, 0.2]",0.8124,0.81,0.81
10,1E-05,0.15,0.055,"[0.1, 0.2, 0.2, 0.1, 0.1, 0.2]",0.8073,0.81,0.81
15,0.1,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.6457,0.39,0.91
15,0.01,-0.2,0,"[-0.2, -0.2, -0.2, -0.2, -0.2, -0.2]",0.7492,0.75,0.74
15,0.001,0.1,0.141,"[0.2, -0.0, 0.3, 0.1, 0.1, -0.1]",0.7937,0.79,0.79
15,0.0001,0.167,0.207,"[0.1, 0.3, 0.4, -0.2, 0.2, 0.2]",0.8134,0.81,0.81
15,1E-05,0.15,0.084,"[0.1, 0.2, 0.3, 0.1, 0.1, 0.1]",0.8077,0.81,0.81
20,0.1,0,0,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.6457,0.39,0.91
20,0.01,-0.2,0,"[-0.2, -0.2, -0.2, -0.2, -0.2, -0.2]",0.7497,0.75,0.74
20,0.001,0.1167,0.147,"[0.2, -0.1, 0.3, 0.1, 0.2, -0.0]",0.7881,0.79,0.79
20,0.0001,0.15,0.243,"[0.1, 0.3, 0.4, -0.3, 0.2, 0.2]",0.8134,0.81,0.81
20,1E-05,0.133,0.052,"[0.1, 0.2, 0.2, 0.1, 0.1, 0.1]",0.8098,0.81,0.81
