 #_estimators,Max_depth, Max_features,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity
5,4, 'auto',0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8090,0.81,0.81
5,4,0.3,0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8090,0.81,0.81
5,4,0.4,0.533,0.041,"[0.55, 0.5, 0.6, 0.5, 0.55, 0.5]",0.8079,0.80,0.81
5,4,0.5,0.517,0.026,"[0.55, 0.5, 0.5, 0.5, 0.55, 0.5]",0.8060,0.80,0.81
5,4,0.6,0.500,0.032,"[0.5, 0.5, 0.5, 0.45, 0.5, 0.55]",0.8024,0.80,0.80
5,4,0.7,0.492,0.038,"[0.45, 0.5, 0.55, 0.45, 0.5, 0.5]",0.8050,0.81,0.80
5,4, None,0.500,0.055,"[0.5, 0.45, 0.6, 0.45, 0.5, 0.5]",0.8004,0.79,0.81
5,8, 'auto',0.517,0.041,"[0.5, 0.5, 0.55, 0.55, 0.55, 0.45]",0.7999,0.80,0.80
5,8,0.3,0.517,0.041,"[0.5, 0.5, 0.55, 0.55, 0.55, 0.45]",0.7999,0.80,0.80
5,8,0.4,0.542,0.049,"[0.55, 0.6, 0.55, 0.55, 0.55, 0.45]",0.7879,0.80,0.78
5,8,0.5,0.500,0.055,"[0.55, 0.45, 0.55, 0.55, 0.45, 0.45]",0.7914,0.80,0.79
5,8,0.6,0.508,0.038,"[0.5, 0.5, 0.5, 0.55, 0.45, 0.55]",0.7939,0.80,0.79
5,8,0.7,0.508,0.049,"[0.5, 0.55, 0.55, 0.45, 0.45, 0.55]",0.7999,0.81,0.79
5,8, None,0.500,0.055,"[0.45, 0.55, 0.45, 0.45, 0.55, 0.55]",0.7954,0.80,0.80
5,16, 'auto',0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,16,0.3,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,16,0.4,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7883,0.81,0.77
5,16,0.5,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7880,0.79,0.78
5,16,0.6,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7920,0.80,0.78
5,16,0.7,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7964,0.80,0.79
