C,Gamma,Mean(Threshold),Std(Threshold),Optimal Thresholds,Accuracy,Sensitivity,Specificity,Threshold,Accuracy,Sensitivity,Specificity
20,0.0001,0.067,0.103,"[0.1, 0.1, 0.2, -0.1, 0.1, 0]",0.8219,0.83,0.82,'Learned',0.8511,0.88,0.79
,,,,,,,,'Mean',0.8504,0.88,0.79
,,,,,,,,-0.1,0.8539,0.90,0.75
,,,,,,,,0,0.8504,0.89,0.77
,,,,,,,,0.1,0.8504,0.88,0.80
,,,,,,,,0.2,0.8494,0.86,0.82
15,0.0001,0.083,0.075,"[0.1, 0.1, 0.2, 0, 0.1, 0]",0.8215,0.82,0.82,'Learned',0.8494,0.88,0.78
,,,,,,,,'Mean',0.8502,0.88,0.78
,,,,,,,,0,0.8535,0.90,0.77
,,,,,,,,0.1,0.8491,0.88,0.78
,,,,,,,,0.2,0.8494,0.87,0.81
10,0.0001,0.117,0.133,"[0.1, 0.1, 0.3, -0.1, 0.2, 0.1]",0.8200,0.82,0.82,'Learned',0.8509,0.89,0.78
,,,,,,,,'Mean',0.8506,0.89,0.78
,,,,,,,,-0.1,0.8558,0.91,0.74
,,,,,,,,0,0.8541,0.90,0.75
,,,,,,,,0.1,0.8522,0.89,0.77
,,,,,,,,0.2,0.8494,0.88,0.80
,,,,,,,,0.3,0.8478,0.86,0.82
5,0.0001,0.133,0.137,"[0.1, 0.2, 0.3, -0.1, 0.2, 0.1]",0.8229,0.83,0.82,'Learned',0.8541,0.90,0.77
,,,,,,,,'Mean',0.8565,0.90,0.76
,,,,,,,,-0.1,0.8621,0.93,0.73
,,,,,,,,0,0.8587,0.92,0.74
,,,,,,,,0.1,0.8569,0.91,0.76
,,,,,,,,0.2,0.8530,0.89,0.78
,,,,,,,,0.3,0.8491,0.88,0.80
1,0.0001,0.1,0.126,"[0.1, 0.1, 0.3, -0.1, 0.1, 0.1]",0.8155,0.82,0.81,'Learned',0.8600,0.92,0.75
,,,,,,,,'Mean',0.8602,0.92,0.75
,,,,,,,,-0.1,0.8632,0.93,0.72
,,,,,,,,0,0.8617,0.93,0.73
,,,,,,,,0.1,0.8602,0.92,0.75
,,,,,,,,0.2,0.8535,0.90,0.76
,,,,,,,,0.3,0.8455,0.88,0.77
0.5,0.001,-0.033,0.137,"[-0.1, 0, 0.2, -0.2, 0, -0.1]",0.8135,0.82,0.81,'Learned',0.8476,0.89,0.75
,,,,,,,,'Mean',0.8463,0.89,0.75
,,,,,,,,-0.2,0.8530,0.91,0.74
,,,,,,,,-0.1,0.8476,0.90,0.75
,,,,,,,,0,0.8450,0.89,0.76
,,,,,,,,0.1,0.8405,0.88,0.77
,,,,,,,,0.2,0.8381,0.87,0.78
