C,Gamma,Mean(Threshold),Std(Threshold),Optimal Thresholds,Accuracy,Sensitivity,Specificity,Threshold,Accuracy,Sensitivity,Specificity
0.5,0.0001,0.3,0,"[0.3, 0.3]",0.6049,0.59,0.61, 'Learned' / ‘Mean’,0.5853,0.57,0.61
1,0.0001,0.3,0,"[0.3, 0.3]",0.6183,0.61,0.62, 'Learned' / ‘Mean’,0.5904,0.58,0.61
5,0.0001,0.3,0,"[0.3, 0.3]",0.6271,0.62,0.64, 'Learned' / ‘Mean’,0.5867,0.57,0.62
10,0.0001,0.25,0.071,"[0.2, 0.3]",0.6226,0.62,0.62, 'Learned',0.5884,0.57,0.61
10,0.0001,0.25,0.071,"[0.2, 0.3]",0.6226,0.62,0.62,'Mean’,0.5898,0.58,0.61
10,0.0001,0.25,0.071,"[0.2, 0.3]",0.6226,0.62,0.62,0.2,0.597,0.6,0.59
10,0.0001,0.25,0.071,"[0.2, 0.3]",0.6226,0.62,0.62,0.3,0.5807,0.55,0.63
15,0.0001,0.25,0.071,"[0.2, 0.3]",0.6195,0.62,0.62, 'Learned',0.588,0.57,0.62
15,0.0001,0.25,0.071,"[0.2, 0.3]",0.6195,0.62,0.62,‘Mean’,0.5861,0.56,0.63
15,0.0001,0.25,0.071,"[0.2, 0.3]",0.6195,0.62,0.62,0.2,0.5988,0.6,0.6
15,0.0001,0.25,0.071,"[0.2, 0.3]",0.6195,0.62,0.62,0.3,0.5777,0.54,0.65
20,0.0001,0.25,0.071,"[0.2, 0.3]",0.6204,0.61,0.63, 'Learned',0.5813,0.55,0.63
20,0.0001,0.25,0.071,"[0.2, 0.3]",0.6204,0.61,0.63,'Mean’,0.5829,0.56,0.63
20,0.0001,0.25,0.071,"[0.2, 0.3]",0.6204,0.61,0.63,0.2,0.5916,0.58,0.61
20,0.0001,0.25,0.071,"[0.2, 0.3]",0.6204,0.61,0.63,0.3,0.5763,0.53,0.65
